Date,Transport Company,RelationName,RelationCode,Trip Nr,Order Number,External reference,Order type,Customer,Planned Date,Planned Time
29/12/2023,SARGEANT TRANSPORT,ARCTIC FOOD WHOLESALERS HANDLEY,(1-3000022980),494265,59000956,'PO78602,SO,McCain AUS,29/12/2023,5:00:00 AM
29/12/2023,SARGEANT TRANSPORT,BIDFOOD PORT MELBOURNE,(1-1001212305),494303,59005278,'P7797514.PME,SO,McCain AUS,29/12/2023,11:00:00 AM
29/12/2023,SARGEANT TRANSPORT,CADELL TRADING EPPING,(1-1000110093),494222,59005271,'3696125M,SO,McCain AUS,29/12/2023,5:02:00 AM
29/12/2023,SARGEANT TRANSPORT,CADELL TRADING EPPING,(1-1000110093),494302,59005279,'3697142M,SO,McCain AUS,29/12/2023,8:00:00 AM
29/12/2023,SARGEANT TRANSPORT,DEL-RE NATIONAL FOOD GROUP PTY LTD,(1-1000110508),494301,59005839,'626998,SO,McCain AUS,29/12/2023,6:00:00 AM
29/12/2023,SARGEANT TRANSPORT,Drakes Warehouse Frozen,(1-BRA812-1),494262,82532807,',SO,ALP,29/12/2023,3:00:00 AM
29/12/2023,SARGEANT TRANSPORT,Galipo Foods,(1-GAL050-1),494283,82532828,',SO,ALP,29/12/2023,1:01:00 AM
29/12/2023,SARGEANT TRANSPORT,KOSMOS FOOD W/SALERS-DARWIN,(1-1001090560),494282,59000949,'PU581076,SO,McCain AUS,29/12/2023,11:01:00 AM
29/12/2023,SARGEANT TRANSPORT,PFD FOOD SERVICES LARA,(1-1001219546),494011,59000962,'PU581761,SO,McCain AUS,29/12/2023,6:03:00 AM
29/12/2023,SARGEANT TRANSPORT,RICHMOND OYSTERS,(1-1000110543),494268,59005306,'MIC281223,SO,McCain AUS,29/12/2023,7:01:00 AM
29/12/2023,SARGEANT TRANSPORT,SUPERIOR FOOD SERVICES VIC HJ,(1-1001210017),494224,58987682,'3172500,SO,McCain AUS,29/12/2023,9:02:00 AM
29/12/2023,SARGEANT TRANSPORT,SUPERIOR FOOD SERVICES VIC HJ,(1-1001210017),494226,58987683,'3172501,SO,McCain AUS,29/12/2023,9:01:00 AM
29/12/2023,SARGEANT TRANSPORT,Woolworths Group Ltd 5998,(1-FFP800),494239,82531779,',SO,ALP,29/12/2023,11:02:00 AM
29/12/2023,TASMAN LOGISTICS,Blenners Brisbane,(1-140),494260,19513350,'0008559249,ST,PETERS,29/12/2023,5:01:00 AM
29/12/2023,TASMAN LOGISTICS,Woolworths Ltd (Lineage Laverton),(1-8000194),494261,19495493,'0010108254,SO,PETERS,29/12/2023,4:00:00 PM
29/12/2023,PETERS,Peters Truck 371,(1-371),494661,19523868,'0008568831,IDV,PETERS,29/12/2023,7:00:00 PM
29/12/2023,NOLANS TRANSPORT,Grocery Holdings Pty Ltd,(1-2783119),494653,19523562,'0010108409,SO,PETERS,30/12/2023,6:00:00 AM
29/12/2023,ALP TRUGANINA,The Freckled Duck,(1-FRE830),494640,82533111,',SOG,ALP,29/12/2023,7:30:00 PM
29/12/2023,AUSSIE NORTH TR,GHPL Laverton 9329FF,(1-GHP006-1),494075,82531770,',SO,ALP,29/12/2023,9:03:00 AM
